"STATION","NAME","DATE","AWND","FMTM","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WDF2","WDF5","WESD","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT11","WT13","WT14","WT16","WT17","WT18","WT19","WT21","WT22"
"USW00094728","NY CITY CENTRAL PARK, NY US","2010-03-01","4.4"," 0922"," 1329","0.0","0.0","279.0",,"8.9","2.2",,"  290","  300",,"9.4","13.4",,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2010-03-02","2.4"," 2257"," 2359","0.3","0.0","178.0",,"8.3","2.2",,"   50","   60",,"6.3","8.0",,,,,,,,,,,,,"    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2010-03-03","4.7"," 0826"," 0825","1.8","0.0","102.0",,"5.0","1.1",,"   40","   30",,"9.4","14.8","    1",,,,,,,,,,"    1",,"    1",,"    1","    1",,
"USW00094728","NY CITY CENTRAL PARK, NY US","2010-03-04","3.5"," 2007"," 2009","0.0","0.0","0.0",,"8.3","1.7",,"   30","   30",,"7.6","10.7",,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2010-03-05","3.4"," 1435"," 2233","0.0","0.0","0.0",,"9.4","1.1",,"  360","   70",,"6.3","10.3",,,,,,,"    1","    1",,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2010-03-06","3.2"," 2106"," 2254","0.0","0.0","0.0",,"12.2","0.0",,"  280","  300",,"6.3","9.8",,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2010-03-07","3.2"," 1155"," 1155","0.0","0.0","0.0",,"13.9","2.8",,"  310","  310",,"7.2","8.9",,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2010-03-08","3.2"," 1501"," 1501","0.0","0.0","0.0",,"16.1","5.0",,"  270","  280",,"7.6","10.3",,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2010-03-09","2.0"," 1153"," 1324","0.0","0.0","0.0",,"16.1","6.7",,"  280","  330",,"6.7","8.0",,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2010-03-10","2.2"," 0823"," 0822","0.0","0.0","0.0",,"13.9","6.7",,"   50","   60",,"5.4","6.7",,,,,,,,,,,,,,,,,,
