,TMAX,TMAX,TMAX,TMAX,TMAX,TMAX,TMAX,TMAX,PRCP,PRCP,PRCP,PRCP,PRCP,PRCP,PRCP,PRCP,SNOW,SNOW,SNOW,SNOW,SNOW,SNOW,SNOW,SNOW,1. open,1. open,1. open,1. open,1. open,1. open,1. open,1. open,4. close,4. close,4. close,4. close,4. close,4. close,4. close,4. close,5. volume,5. volume,5. volume,5. volume,5. volume,5. volume,5. volume,5. volume
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
DATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-06-30,21.0,25.65238095238095,5.089952754949602,17.2,22.2,25.0,27.2,34.4,21.0,3.0428571428571423,6.025410478014872,0.0,0.0,0.0,4.6,25.9,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,17.383809523809525,1.323708714900964,15.37,16.62,17.45,18.66,19.91,21.0,17.46524285714286,1.3477469749813684,15.2471,16.84,17.53,18.47,19.295,21.0,12682624.333333334,6702434.606554929,5847717.0,8045052.0,9383292.0,16767788.0,27596153.0
2012-07-31,21.0,30.747619047619054,3.604250136660751,22.2,29.4,31.1,32.8,37.8,21.0,3.7571428571428576,10.400652452061431,0.0,0.0,0.0,0.0,44.7,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,20.245714285714286,0.9818481116169215,18.99,19.38,20.07,21.12,21.91,21.0,20.31845238095238,1.0420336115591702,18.72,19.58,20.12,21.14,22.04,21.0,13850928.761904761,8147738.208202157,5527497.0,9704056.0,12170560.0,14792708.0,40833476.0
2012-08-31,23.0,28.87391304347826,2.0878909304725197,25.6,27.5,29.4,30.6,32.8,23.0,2.626086956521739,5.318767576943873,0.0,0.0,0.0,1.95,16.3,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,19.14130434782609,0.7606355258348476,17.8,18.744999999999997,19.09,19.535,21.21,23.0,19.071130434782606,0.7099301056728834,17.69,18.645,19.01,19.5975,20.3,23.0,10605659.47826087,4040066.3602716965,3937099.0,7131080.0,10974440.0,13192412.5,17835431.0
2012-09-30,19.0,24.34210526315789,2.908095174484434,19.4,22.2,23.9,26.7,30.6,19.0,5.042105263157895,14.028317226614401,0.0,0.0,0.0,0.9,49.8,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,19.69263157894737,0.9471585700003702,18.11,19.22,19.65,20.065,21.98,19.0,19.843736842105262,1.0376933737919385,18.12,19.075499999999998,19.72,20.43,22.33,19.0,10762716.421052631,4142597.408011338,5279609.0,7918809.5,9845356.0,12896042.0,22157462.0
2012-10-31,21.0,17.857142857142854,3.8704743157100823,10.0,15.0,18.3,20.6,25.6,21.0,2.176190476190476,5.356015754448895,0.0,0.0,0.0,0.8,22.6,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,22.27452380952381,0.4374868705512905,21.57,22.05,22.28,22.455,23.12,21.0,22.33072857142857,0.48624941865554694,21.64,21.935,22.21,22.6,23.35,21.0,9119943.523809524,3512383.5902171424,3579793.0,5997797.0,8443832.0,12061691.0,15140482.0
2012-11-30,21.0,9.376190476190477,3.6993113902326145,5.0,7.2,8.3,11.7,18.9,21.0,2.1904761904761902,6.692077761196801,0.0,0.0,0.0,0.0,28.4,21.0,5.666666666666667,23.77673933350268,0.0,0.0,0.0,0.0,109.0,21.0,21.540952380952383,0.6492064753366584,20.42,20.96,21.67,22.08,22.72,21.0,21.576190476190476,0.7887868925792073,20.39,20.97,21.72,22.14,22.99,21.0,6350212.666666667,3007460.555988579,2035305.0,4142733.0,5182063.0,8362143.0,14152557.0
2012-12-31,20.0,8.880000000000003,4.654211448841395,2.8,4.4,8.05,13.575000000000001,16.7,20.0,4.450000000000001,7.411335556891356,0.0,0.0,0.65,4.550000000000001,25.1,20.0,0.5,2.23606797749979,0.0,0.0,0.0,0.0,10.0,20.0,19.483494999999998,0.6989450588113795,18.22,19.0825,19.355,19.72,20.94,20.0,19.459715,0.6676520424316533,18.24,19.0575,19.33,19.62,21.0,20.0,9308334.9,2888603.9413685435,4949597.0,7099094.5,8710214.0,11376717.75,15621170.0
2013-01-31,21.0,4.542857142857143,6.482790404491836,-6.7,0.6,3.3,8.9,16.1,21.0,3.314285714285714,6.512010881001791,0.0,0.0,0.0,2.3,22.9,21.0,1.8095238095238095,8.29227982896771,0.0,0.0,0.0,0.0,38.0,21.0,18.85380952380952,0.7254617577135007,17.67,18.33,18.79,19.34,20.1,21.0,18.882619047619045,0.7310362833806867,17.57,18.4,18.76,19.52,20.1,21.0,8190910.571428572,3278141.388112715,4304399.0,5582258.0,7590202.0,8970214.0,15295764.0
2013-02-28,19.0,4.968421052631578,4.113669979684125,-1.1,1.1,6.7,7.5,12.8,19.0,4.731578947368422,10.998689448777217,0.0,0.0,0.0,2.2,39.6,19.0,8.947368421052632,36.65071423316561,0.0,0.0,0.0,0.0,160.0,19.0,18.634736842105266,0.4399415165811198,17.89,18.29,18.51,19.02,19.34,19.0,18.591105263157896,0.45788631470375074,17.78,18.310000000000002,18.52,19.025,19.36,19.0,5230674.7894736845,2583639.7017215537,2428583.0,3358425.0,4106038.0,6993555.0,11615063.0
2013-03-31,20.0,7.5,3.4114358761146457,1.7,5.0,6.65,10.725,13.9,20.0,3.425,6.298193141060796,0.0,0.0,0.0,4.425,20.1,20.0,8.9,27.716421125390617,0.0,0.0,0.0,0.0,102.0,20.0,20.822000000000006,1.0352858745801872,19.25,19.8125,21.33,21.695,22.04,20.0,20.85,0.9849018118306861,19.18,20.005,21.185000000000002,21.655,22.24,20.0,5115821.0,1901870.1110362262,2275277.0,3999725.25,4908142.0,6070496.25,9093487.0
